iter	RMSE
0	2.625093041
1	2.445364797
2	2.288507274
3	2.149816174
4	2.029091781
5	1.9234335
6	1.832845966
7	1.748291186
8	1.674457611
9	1.609132778
10	1.553599691
11	1.503075167
12	1.45860293
13	1.420209924
14	1.385250569
15	1.352483133
16	1.324902679
17	1.298596161
18	1.275627474
19	1.254869953
20	1.234838193
21	1.216113577
22	1.199064993
23	1.182426038
24	1.167554334
25	1.153410624
26	1.140180078
27	1.129272249
28	1.118172526
29	1.108575009
30	1.099670775
31	1.087872453
32	1.079964427
33	1.072403808
34	1.064940749
35	1.057277805
36	1.050495582
37	1.042388389
38	1.03484306
39	1.027101121
40	1.020353407
41	1.014098181
42	1.006284354
43	1.001440985
44	0.9951233267
45	0.9886969874
46	0.9841256346
47	0.9803397659
48	0.9741850854
49	0.9667584752
50	0.9609447374
51	0.9550341536
52	0.9506698509
53	0.9468241851
54	0.9416032061
55	0.9366457883
56	0.931822614
57	0.9287810683
58	0.923730281
59	0.9199449851
60	0.9146559723
61	0.910904217
62	0.907818567
63	0.903717114
64	0.9012423962
65	0.8986087731
66	0.8952125862
67	0.890076422
68	0.8858092199
69	0.8827288777
70	0.8802320458
71	0.877480014
72	0.8728529747
73	0.8689410788
74	0.866389657
75	0.8622352187
76	0.8587990141
77	0.8557727367
78	0.8512382384
79	0.8483972814
80	0.8446082259
81	0.8418625883
82	0.8399205961
83	0.8367188866
84	0.8335545459
85	0.8307652703
86	0.827900587
87	0.8249922561
88	0.8226457274
89	0.8202653951
90	0.817713334
91	0.8143658869
92	0.8120529665
93	0.808916632
94	0.8068062753
95	0.8038648442
96	0.8008729551
97	0.7987205739
98	0.796573485
99	0.7946306833
100	0.7921197978
101	0.7899798574
102	0.7879681962
103	0.7851796935
104	0.7838071817
105	0.781669328
106	0.779177629
107	0.7773878865
108	0.7753935631
109	0.773518304
110	0.7714510212
111	0.7698690359
112	0.7675529439
113	0.7658937789
114	0.7645842505
115	0.762910113
116	0.7606533867
117	0.7584578273
118	0.7565503402
119	0.7544418296
120	0.7525159306
121	0.7504092795
122	0.7487320148
123	0.7474682278
124	0.7456236828
125	0.7442470214
126	0.7425537446
127	0.7408125379
128	0.738753833
129	0.7367153961
130	0.73507762
131	0.7336481281
132	0.7326749992
133	0.7310559189
134	0.7293404523
135	0.7280289724
136	0.7270399106
137	0.7253057395
138	0.7240477671
139	0.7230802747
140	0.7208599828
141	0.7197047335
142	0.7183639014
143	0.7169190739
144	0.7151881045
145	0.7134315987
146	0.71193961
147	0.710649931
148	0.7092496661
149	0.7068234702
150	0.7055260247
151	0.7036243143
152	0.7022609807
153	0.7007016517
154	0.6993817312
155	0.6980631919
156	0.6958808588
157	0.6945193446
158	0.693753135
159	0.6922816998
160	0.6900889212
161	0.6888640708
162	0.686311915
163	0.685180367
164	0.6840711322
165	0.6828215154
166	0.6804475691
167	0.6794878667
168	0.6778246352
169	0.6765932731
170	0.6743221636
171	0.6727577936
172	0.6711795013
173	0.6701884859
174	0.6694773458
175	0.6679302736
176	0.6669251474
177	0.665496911
178	0.6636810916
179	0.6624436029
180	0.661430245
181	0.6597261292
182	0.6589146834
183	0.6579464866
184	0.6569175897
185	0.6563149714
186	0.6546834545
187	0.6534600853
188	0.6528931181
189	0.6507722105
190	0.6500026561
191	0.6487171317
192	0.6477573067
193	0.6460018215
194	0.6448881449
195	0.6438174353
196	0.6425346882
197	0.6415988209
198	0.6408325195
199	0.640154107
200	0.639121904
201	0.6386108892
202	0.6377125273
203	0.6361565245
204	0.63532185
205	0.6338537605
206	0.6320677211
207	0.6313477493
208	0.6303680981
209	0.6298244808
210	0.6291553534
211	0.6284224856
212	0.6279521234
213	0.6271779612
214	0.6264232254
215	0.6253124552
216	0.6244845457
217	0.6240188563
218	0.6232142615
219	0.6222845982
220	0.6219286295
221	0.6214885971
222	0.6204946239
223	0.6197524866
224	0.6186073182
225	0.61739751
226	0.616301392
227	0.6151590158
228	0.6144346004
229	0.6129321975
230	0.6118544557
231	0.6113927808
232	0.6106166876
233	0.6096233912
234	0.6089446794
235	0.6081960568
236	0.6074760081
237	0.60685011
238	0.6060959355
239	0.6053777185
240	0.6048842337
241	0.6043443197
242	0.6039566684
243	0.6031867724
244	0.6026142431
245	0.6021437225
246	0.6008884418
247	0.5999271641
248	0.5990683424
249	0.5981917794
250	0.5970591077
251	0.5964134455
252	0.5957641111
253	0.5949079031
254	0.5940384214
255	0.5934108937
256	0.5926987734
257	0.5923405033
258	0.5918534268
259	0.5912047066
260	0.5903890867
261	0.5894635521
262	0.5890768453
263	0.5884373052
264	0.587514807
265	0.5868718361
266	0.5865152146
267	0.5853385369
268	0.5845869353
269	0.5841438817
270	0.582911072
271	0.5818090939
272	0.5805412396
273	0.5797827703
274	0.5789374833
275	0.5782047395
276	0.5777069156
277	0.5771105354
278	0.576426882
279	0.5752304475
280	0.5746741205
281	0.5742464773
